subject_id,subject_name,periods_per_week,teacher,block_pattern,student_class,constraint,room,fixed_period,group_id
ว32283,การสื่อสารวิทยาศาสตร์ในยุคดิจิทัล,3.0,"['T016', 'T025', 'T021']",2-1,"['5/1', '5/2', '5/3']",type=MULTI_CLASS_TEAM,A316,TUE_8-TUE_10,67
ว32283,การสื่อสารวิทยาศาสตร์ในยุคดิจิทัล,3.0,"['T016', 'T025', 'T021']",2-1,"['5/4', '5/5']",type=MULTI_CLASS_TEAM,A316,THU_8-THU_10,67
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T037,1,"['5/1', '5/2', '5/3', '5/4', '5/5']",,,,68
EFF5,EFF5,1.0,E001,1,"['5/1', '5/2', '5/3', '5/4', '5/5']",,,,69
ว32283,EFF5,,,1,"['5/1', '5/2', '5/3', '5/4', '5/5']",type=MULTI_CLASS_TEAM,A316,TUE_8-TUE_10,69
ท33102,คุณค่าของภาษาในวรรณคดีไทย2,2.0,T034,2,"['6/1', '6/2', '6/3', '6/4', '6/5']",,C215-216,,70
ว33103,ฟิสิกส์พื้นฐาน,3.0,T027,2-1,"['6/1', '6/2', '6/3', '6/4', '6/5']",,"['B210-211', 'B212', 'B213', 'B217', 'B218']",,71
ส33102,ศาสนา3,2.0,T044,2,"['6/1', '6/2', '6/3']",,C101-102,,72
ส33102,ศาสนา3,2.0,T043,2,"['6/4', '6/5']",nan,C101-102,nan,72
พ33102,สุขศึกษาและพลศึกษา6,1.0,T048,1,"['6/1', '6/2', '6/3', '6/4', '6/5']",,D316,,73
ว33242,สรีรวิทยาของมนุษย์และสัตว์ขั้นสูง,2.0,T019,2,"['6/1', '6/2', '6/3', '6/4', '6/5']",,"['B108-109', 'B212', 'B213', 'B217', 'B218']",,74
อ33203,พัฒนาการอ่านและการเขียนภาษาอังกฤษเชิงบูรณาการ,2.0,T029,2,"['6/1', '6/2', '6/3', '6/4', '6/5']",,C210-211,,75
กิจกรรมแนะแนว,กิจกรรมแนะแนว,1.0,T037,1,"['6/1', '6/2', '6/3', '6/4', '6/5']",,,,76
EFF6,EFF6,1.0,E001,1,"['6/1', '6/2', '6/3', '6/4', '6/5']",,,,77
